tid,toi,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh
269701147,1339.02,CP,28.580474,2460612.35145,4.5139977
269701147,1339.03,CP,38.3511223,2460661.127783,5.9120193
234994474,134.01,CP,1.4015183,2458326.034032,1.1583061
233681149,1340.01,FP,8.5874668,2458683.689629,5.1458902
233390838,1341.01,FP,6.4474918,2459820.572994,2.643
256621916,1342.01,FP,1.4136455,2460352.578093,1.448
358631536,1343.01,FP,3.4040139,2460552.940939,4.837
1400770435,1344.01,FP,13.7432169,2460637.867682,2.73
160487753,1345.01,PC,8.47134,2458715.45948,6.989
219852882,1346.01,CP,5.5025577,2459766.224945,3.1711008
219852882,1346.02,CP,1.7622537,2459741.887113,0.8779711
229747848,1347.01,CP,0.8474218,2459664.026959,0.8758764
229747848,1347.02,CP,4.8420438,2459656.582609,2.4105648
229770036,1348.01,FP,2.14056,2458684.50173,2.029
267263253,135.01,CP,4.1269046,2460174.637067,4.405
233953967,1350.01,PC,5.5402372,2459851.288394,7.713
201248411,129.01,CP,0.980972,2460205.646862,0.5405036
417676622,1290.01,KP,5.3987355,2460551.373546,3.127
198186769,1291.01,PC,7.16199,2459734.427241,7.668
199688472,1292.01,FP,1.4412175,2460351.142333,1.666
202504234,1293.01,PC,1.6849938,2459689.485255,0.916
219015370,1294.01,CP,3.9152737,2459663.161776,2.562
219852584,1295.01,CP,3.1968838,2459913.379043,3.7533697
219854185,1296.01,CP,3.9443668,2459766.962599,4.8652146
229536616,1297.01,FP,3.93034,2458686.93866,3.667
237104103,1298.01,CP,4.5371361,2459764.419877,4.042155
258777134,1299.01,FP,5.929405,2459599.130762,3.719
263003176,130.01,CP,14.3392144,2458336.557651,4.6064739
293687315,1300.01,KP,2.8716983,2460419.967332,4.668
356867115,1301.01,CP,6.0964074,2459710.294209,2.3632965
441797803,1302.01,PC,5.6666168,2459738.402777,3.604
185405474,1303.01,FP,1.56029,2458684.13635,2.751
186000935,1304.01,FP,8.8735214,2460552.790682,4.059
232679662,1305.01,FP,7.8513774,2460650.647652,6.699
233735068,1306.01,FP,7.6869063,2459852.045455,4.652
277014266,1308.01,FP,1.3797091,2459446.290468,2.352
287190564,1309.01,FP,1.49861,2458684.76284,2.871
294179389,1310.01,FP,2.6796,2458685.4705,2.771
405904232,1312.01,FP,11.0765063,2460549.082741,4.692
11111899,1313.01,FP,0.6193401,2460557.800973,1.514
136848581,1314.01,FP,2.6400663,2460365.8222,3.368
137284119,1315.01,FP,2.5778717,2459820.409101,3.472
15565627,1316.01,FP,3.80509,2458684.06072,3.347
165523947,1317.01,FP,2.99041,2458711.85776,3.952
167092385,1318.01,PC,4.9865029,2460557.056579,2.441
167098530,1319.01,FP,0.890967,2459823.85374,1.784
89020549,132.01,CP,2.1096805,2458326.904918,2.1344043
167403519,1320.01,PC,3.9729429,2460556.464958,3.653
195199644,1321.01,FP,1.19888,2458712.25971,1.558
343019899,1386.01,CP,25.8386422,2460561.017924,5.209
343442463,1387.01,FP,0.78381,2458739.5222,1.443
346338552,1388.01,KP,4.4652986,2460606.436882,2.502
353038705,1389.01,PC,3.062624,2459851.063533,1.767
62483237,139.01,CP,11.0708575,2458334.891563,2.1937617
365389353,1390.01,FP,2.6380089,2460605.160178,3.55
389182138,1391.01,FP,2.7260173,2460610.162144,2.703
416987878,1392.01,FP,2.86876,2458712.7665,2.422
430528566,1393.01,FP,0.5590256,2460405.442909,0.688
431156009,1394.01,FP,2.958148,2460403.663304,3.769
468472950,1395.01,FP,0.98736,2458712.35831,1.464
468845640,1396.01,FP,3.99307,2458741.72914,4.783
64553698,1397.01,FP,8.6795072,2458965.050909,3.628
66783360,1399.01,FP,1.3812787,2459881.30632,2.4
258801269,1400.01,FP,5.48923,2458689.02568,3.29
259126549,1401.01,FP,7.3845072,2459658.948928,4.531
259129875,1402.01,FP,0.43889,2458684.09715,0.947
328750515,1403.01,FP,2.3359622,2459825.344785,6.0165684
352239069,1404.01,PC,6.8674054,2459908.512546,3.488
352239069,1404.02,PC,14.431887,2459908.522961,3.265
387834907,1405.01,FP,12.64001,2458739.88011,6.893
231736113,1406.01,CP,10.5739824,2459218.231402,4.04
69747919,1407.01,KP,9.9783319,2459085.39112,4.2281711
364186197,1408.01,CP,4.4247042,2460661.181674,1.318
364186197,1408.02,KP,2.2222094,2460479.047419,2.461
403224672,141.01,CP,1.0082361,2460178.671412,1.41
199444169,1410.01,CP,1.2168732,2459850.737058,0.86
116483514,1411.01,CP,1.4520486,2460447.085367,1.339
119700084,1413.01,PC,6.1182129,2459829.698976,0.6671441
148782377,1415.01,PC,14.4204896,2458745.710132,5.1737619
158025009,1416.01,CP,1.0697621,2460423.263435,1.356
279177746,1353.01,FP,4.4350025,2460551.553803,2.252
365683032,1354.01,FP,1.4287976,2460556.601695,2.93
372264750,1355.01,PC,2.1702725,2459853.582179,2.1417853
277566483,1356.01,PC,24.2544697,2459849.242233,17.486
357972447,1357.01,FP,0.33759,2460393.796914,1.351
275501623,1358.01,FP,1.67346,2458739.59911,2.54
416624606,1359.01,FP,2.5152549,2459821.804188,2.386
410153553,136.01,CP,0.4629304,2458325.724125,0.5409433
330468175,1360.01,FP,0.70902,2458739.28,2.49
277447970,1361.01,PC,2.237462,2460608.708763,2.991
395142888,1362.01,PC,1.9173816,2460422.958913,1.466
230017325,1363.01,FP,9.6926509,2460649.216907,2.819
26880783,1364.01,PC,1.7753644,2460530.034744,2.034
367099243,1365.01,FP,1.8286961,2460421.898853,3.37
120602501,1366.01,FP,14.8626982,2459830.772785,3.3250502
129539786,1367.01,FP,2.0881134,2459850.248203,2.307
136971594,1368.01,FP,1.25562,2458711.81369,2.304
155005217,1369.01,FP,7.6047417,2459867.206961,5.23
176957796,137.01,FA,4.8173797,2459199.440315,1.323
155114483,1370.01,FP,5.2651271,2459877.368408,2.463
164150539,1372.01,FP,6.1600888,2459850.543759,1.67
176899385,1373.01,KP,3.8529998,2460605.038813,3.225
190430205,1374.01,FP,1.06884,2458712.06866,2.512
190442486,1375.01,FP,5.4561177,2459850.13104,3.1
190743990,1376.01,FP,1.7380504,2460582.487167,1.496
240613164,1377.01,FP,1.99143,2458712.05324,4.136
249812036,1378.01,FP,5.7785318,2460561.395306,2.348
274170255,1380.01,FP,1.41072,2458712.04951,2.623
275722992,1381.01,PC,6.5601782,2460552.174345,4.058
276360911,1382.01,FA,0.44482,2458738.89623,1.058
313506357,1383.01,FP,1.532703,2459880.029372,2.698
328167090,1384.01,FP,0.7131492,2459880.756663,2.428
329864959,1385.01,FP,4.52318,2458739.96744,5.099
259172391,1445.02,PC,4.7842093,2459740.829189,2.947
294471966,1446.01,PC,6.3170657,2458689.364498,2.4466954
294471966,1446.02,PC,4.5057387,2458685.433408,1.885675
298073824,1447.01,FA,1.2273079,2458684.362799,4.8114753
343628284,1448.01,CP,8.0970819,2459857.185608,3.127852
